station,city,email,country
WMMO,"Orlando, FL",wes.halliwell@coxradio.com,USA
WAPN,"Holly Hill, FL",wapn@wapn.net,USA
WCEI-FM,"Dover, DE",studio@wceiradio.com,USA
VivaLaVoce,"Washington, DC",fmlistener@weta.org,USA
WAVV,"Naples, FL",albaxa@wavv101.com,USA
WAFC,"Clewiston, FL",dialdeal@wafcamfm.com,USA
WDCN-LP,"Fairfax, VA",wtorrezlanueva877@gmail.com,USA
Local 840,"Mims, FL",wpgs840@aol.com,USA
Rowan Radio,"Glassboro, NJ",wgls@rowan.edu,USA
The Journey,"Woodbridge, VA",office@myjourneyfm.com,USA
The Voice,"Lancaster, PA", postmaster@wdac.com,USA
Reach FM,"Port Charlotte, FL",info@reachfm.org,USA
WFAN Sports Radio,"De Land, FL",fanmail@wfan.com,USA
Talk 790,"Pensacola, FL",scott@talk790.com,USA
Radio Fairfax,"Fairfax, VA",askfpa@fcac.org,USA
WYND,"De Land, FL",WYND@buddytuckerassociation.org,USA
WFHT,"Avon Park, FL",wgbcfmgrover@yahoo.com,USA
WIND-FM,"Silver Springs, FL",hunter@windfm.com,USA
Ritmo Latino,"Gainesville, FL",jbutler@wruf.com,USA
Onda 1340,"Clermont, FL",ondamexradio@aol.com,USA
Ondas de Amor,"La Belle, FL",info@ondasdeamor.com,USA
The Boulevard,"Cedar Creek, FL",garyandelaine@cox.net,USA
740 The Game,"Maitland, FL",rickeverett@ccorlando.com,USA
The Big I 105,"Ephrata, PA",jen.carlson@citcomm.com,USA
WKDI,"Denton, MD",TheRemnantMinistry@msn.com,USA
The ANSWER,"Altamonte Springs, FL",worl@salemorlando.com,USA
LIFT FM,"Bridgeton, NJ",lift@lift985.com,USA
WFBR,"Glen Burnie, MD",somwananchi@aol.com,USA
ESPN Pensacola,"Pensacola, FL",amber@espnpcola.com,USA
We Act Radio,"Dumfries, VA",info@weactradio.com,USA
96 K Rock,"Bonita Springs, FL",cd@bbgi.com,USA
Cavalier Radio,"Radnor, PA",wybf891@gmail.com,USA
RADIO ESPERANZA 1280,"Lake Wales, FL",WIPC1280@yahoo.com,USA
WMJS-LP,"Prince Frederick, MD",info@wmjs.org,USA
Sports Talk 1080 The Team,"Kissimmee, FL",web@radiogenesis.com,USA
KIX Country 98.7,"Palm Coast, FL",david@wnzf.com,USA
WWDH-LP,"Fort Myers, FL",rob@tigerfm.com,USA
Indie 97.9,"Baltimore, MD",indie979@hearst.com,USA
La Raza,"Auburndale, FL",laraza1570@gmail.com,USA
WOOK-LP,"Washington, DC",office@ok103.org,USA
WFDM,"Fort Walton Beach, FL",salesdept@freedom945.com,USA
Aviva Radio,"Lehigh Acres, FL",info@avivaradio107.com,USA
The New AM 950 WTLN,"Orlando, FL",wtln@wtln.com,USA
WGCU-FM,"Fort Myers, FL",atardif@wgcu.org,USA
WOKV,"Jacksonville, FL",news@wokv.com,USA
XL 106.7,"Tavares, FL",Webmaster@XL1067.com,USA
WTGF,"Milton, FL",johng724@me.com,USA
Coast 101.3,"Port Saint Lucie, FL",jcarr@coast1013.com,USA
WAKJ,"De Funiak Springs, FL",WAKJradio@gmail.com,USA
iradiophilly Bandstand,"Philadelphia, PA",iradiophilly@gmail.com,USA
WMUC,"College Park, MD",program.wmuc@gmail.com,USA
Lite 96.1,"Jacksonville, FL",gspurgeon@rendabroadcasting.com,USA
ESPN Gainesville WRUF,"Gainesville, FL",jbutler@wruf.com,USA
WINK-FM,"Fort Myers, FL",michael@winkfm.com,USA
News Radio 1450 WILM,"Dover, DE",marthaburns@clearchannel.com,USA
Reach FM,"Cypress Quarters, FL",info@reachfm.org,USA
WURD,"Philadelphia, PA",info@900amwurd.com,USA
WFTL,"West Palm Beach, FL",listener@850wftl.com,USA
The Promise,"Fruit Cove, FL",contact@fm88.org,USA
WNZF,"Bunnell, FL",marc@wnzf.com,USA
News Radio 980 & 720,"Gainesville, FL",kevin.mangan@marcradio.com,USA
95.1 SHINE-FM,"Baltimore, MD",info@951SHINEFM.com,USA
WSJZ-FM,"Sebastian, FL",nicole.wyenberg@cumulus.com,USA
WUCF-HD2,"Orlando, FL",chris@wucf.org,USA
WFAX,"Falls Church, VA",wfax@wfax.com,USA
Omega 95.9 fm,"Saint Cloud, FL",tony@omega959.com,USA
Super Q 1300,"Tampa, FL",wqbnradio@gmail.com,USA
The Beach,"Brunswick, GA",Contact@1023thebeach.com,USA
WUCF,"Orlando, FL",wucfhost@ucf.edu,USA
Hope FM,"Coatesville, PA",info@ccmarlton.org,USA
The Duck,"Federalsburg, MD",theduck@mtslive.com,USA
Atglen Fire Department,"Atglen, PA",info@atglenfire.com,USA
The Palm,"North Palm Beach, FL",Chet@seaviewradio.com,USA
1240 & 1350 WMMB,"Melbourne, FL",billmick@clearchannel.com,USA
Holy Spirit Radio,"Coatesville, PA",1570am@holyspiritRadio.org,USA
La Poderosa,"Miami, FL",info@lapoderosa.com,USA
Classic Hits 102.9 & 1130,"Bartow, FL",news@wwbf.com,USA
WKIQ,"Eustis, FL",info@wkiq1240.com,USA
WPFW,"Washington, DC",info@wpfw.org,USA
Hope FM,"Edgemere, MD",info@ccmarlton.org,USA
WGOT-LP,"Gainesville, FL",technical@wgot.org,USA
Z88.3 FM,"Palm Coast, FL",zcrew@zradio.org,USA
107.3 K-LOVE Radio KLVS,"Starke, FL",klove@klove.com,USA
WNDB,"Daytona Beach, FL",dlaing@daytonaradio.com,USA
WFJV-LP,"Citronelle, FL",info@wfjv.net,USA
WSBB,"New Smyrna Beach, FL",barbdiegel@wsbbradio.com,USA
WGTS,"Takoma Park, MD",programming@wgts919.com,USA
WEEU,"Reading, PA",weeu@weeu.com,USA
iradiophilly Trinity,"Philadelphia, PA",iradiophilly@gmail.com,USA
WVUD,"Newark, DE",ud.wvud@gmail.com,USA
WJBR-FM,"Wilmington, DE",info@wjbr.com,USA
95.1 SHINE-FM,"Camden, DE",info@951SHINEFM.com,USA
93 BLX,"Mobile, AL",mark.mcmillen@cumulus.com,USA
My Country,"Ocala, FL",challmark@jvcbroadcasting.com,USA
WOL,"Washington, DC",cwegmann@radio-one.com,USA
Old School Hip Hop,"Daytona Beach, FL",kevin.gardner@coxradio.com,USA
97 Underground,"Baltimore, MD",97Underground@Comcast.Net,USA
Z88.3 FM,"Union Park, FL",zcrew@zradio.org,USA
iradiophilly BYO,"Philadelphia, PA",iradiophilly@gmail.com,USA
WROD,"Daytona Beach, FL",frank@therockofdaytona.com,USA
Catholic Radio,"Pensacola, FL",info@divinewordradio.com,USA
Wow-FM,"High Springs, FL",wolf@jvcbroadcasting.com,USA
98 ROCK,"Baltimore, MD",wiyyprogram@hearst.com,USA
Urbana 92.7 FM,"Kissimmee, FL",info@urbana927.com,USA
Fifth Dimension Radio 5DRadio,"Exton, PA",gene@5DRadio.com,USA
iRadioPhilly Live Broadcast 2,"Philadelphia, PA",iradiophilly@gmail.com,USA
WBOF-LP,"Fort Pierce, FL",mike@wbofradio.com,USA
Rejoice Radio,"Pensacola, FL",rbn@rejoice.org,USA
Gold 99,"La Crosse, FL",info@gold99fm.com,USA
Reach FM,"Orlando, FL",info@reachfm.org,USA
WCIF,"Melbourne, FL",info@wcif.com,USA
NOAA Weather Radio,"Pensacola, FL",chuck@wunderground.com,USA
iradiophilly Martini Lounge Radio,"Philadelphia, PA",tkelly@iradiophilly.com,USA
WHYY-FM,"Philadelphia, PA",talkback@whyy.org,USA
The Dove,"New Port Richey, FL",John.Larson@coxinc.com,USA
Hits 106,"Spring Hill, FL",dj@trueoldies1063.com,USA
WZAZ,"Jacksonville, FL",programming@wzaz.com,USA
89.3 K-LOVE Radio KLOV,"Fort Myers, FL",klove@klove.com,USA
WOLB,"Baltimore, MD",wolb1010@gmail.com,USA
WUFT-HD2,"Gainesville, FL",radio@wuft.org,USA
WDEL,"Canton, NJ",wdelnews@wdel.com,USA
WBOB,"Jacksonville, FL",programming@600wbob.com,USA
Citrus 95.3 FM,"Homosassa Springs, FL",r.molony@hotmail.com,USA
Inspiration 1400,"Zephyrhills, FL",lola@tantalk1340.com,USA
WAVA 780,"Arlington, VA",comment@wava.com,USA
iradiophilly Rift,"Philadelphia, PA",iradiophilly@gmail.com,USA
WLTG,"Panama City, FL",wltg@bellsouth.net,USA
La Ley,"Manassas, VA",sales@metroradioinc.com,USA
WHUR World,"Washington, DC",jwatkins@whur.com,USA
WPHE,"Phoenixville, PA",radio690am@gmail.com,USA
WNWR,"Philadelphia, PA",information@wnwr.com,USA
News 96.5 WDBO,"Orlando, FL",levi.may@coxinc.com,USA
WXPN,"Philadelphia, PA",wxpndesk@xpn.org,USA
iradiophilly Y-Not Radio,"Philadelphia, PA",iradiophilly@gmail.com,USA
Magic 101.3,"Williston, FL",info@magic1013.com,USA
WGYL,"Vero Beach, FL",jimd@wgylfm.com,USA
WNTP,"Philadelphia, PA",contactus@wntp.com,USA
98.3 K-LOVE Radio WLVM,"Navarre, FL",klove@klove.com,USA
WBQH,"Silver Spring, MD",pidela@lameramera1050.com,USA
Big 100.3,"Washington, DC",vascobramao@clearchannel.com,USA
B1039,"Cape Coral, FL",adam.star@bbgi.com,USA
WMIE-FM,"Cocoa, FL",josh@ncnradio.com,USA
WXEI-LP,"Crestview, FL",wxei@radio.fm,USA
AM 1260 The Answer,"Washington, DC",comments@1260wrc.com,USA
The Ticket,"Niceville, FL",beachsportsradio@gmail.com,USA
WTYG,"Sparr, FL",station@wtygfm.org,USA
Phillies 24/7,"Philadelphia, PA",jeffrey.sottolano@cbsradio.com,USA
La X,"Bartow, FL",programacion@lax1460.com,USA
Star 98.3,"Mechanicsville, MD",patrick@somdradio.com,USA
WJRN-LP,"Summerfield, FL",radiofe95@gmail.com,USA
Super 91.7,"Wilmington, DE",91.7WMPH@gmail.com,USA
WFYL,"King of Prussia, PA",info@1180wfyl.com,USA
AM 1060 News,"Titusville, FL",web@radiogenesis.com,USA
iradiophilly Eight Ball,"Philadelphia, PA",iradiophilly@gmail.com,USA
WDEL,"Wilmington, DE",wdelnews@wdel.com,USA
More FM,"Philadelphia, PA",programming@morefmphilly.com,USA
WZEU-LP,"Weeki Wachee, FL",management@wzeufm.com,USA
98ROCK,"Clearwater, FL",doubledown@clearchannel.com,USA
US 103-5,"Bradenton, FL",travisdaily@clearchannel.com,USA
Classical WETA,"Washington, DC",fmlistener@weta.org,USA
Victory 91.7,"Port Charlotte, FL",wvij@wvij.com,USA
The Sky,"Micanopy, FL",tjhart@entercom.com,USA
Radio Vida,"De Land, FL",radiovidaorlando@gmail.com,USA
WMNF,"Tampa, FL",web@wmnf.org,USA
iradiophilly Mustang,"Philadelphia, PA",iradiophilly@gmail.com,USA
La Grande 1030,"Oviedo, FL",info@1030lagrande.com,USA
Hot 99.5,"Washington, DC",requests@hot995.com,USA
BBN English,"Belleview, FL",bbn@bbnradio.org,USA
WIHW-LP,"Dover, DE",info@cbcofdover.com,USA
The Eagle,"Jacksonville, FL",andy.meyer@coxradio.com,USA
Family Radio Network East,"Baltimore, MD",familyradio@familyradio.org,USA
iradiophilly Eleven,"Philadelphia, PA",iradiophilly@gmail.com,USA
Reach Radio,"Christiana, DE",listenercare@myreachradio.com,USA
Faith Talk 570,"Pinellas Park, FL",tammyb@salemtampa.com,USA
101.9 AMP Radio,"Daytona Beach, FL",webmaster@1019ampradio.com,USA
1250 WHNZ,"Tampa, FL",webmaster@whnz.com,USA
Mega 105.7 FM,"Camden, NJ",webteam@mega1310am.com,USA
1230 am WBZT,"West Palm Beach, FL",brianmudd@clearchannel.com,USA
News Radio 980 & 720,"Hernando, FL",kevin.mangan@marcradio.com,USA
WROD,"Ormond Beach, FL",frank@therockofdaytona.com,USA
WCGL,"Jacksonville, FL",wcgl@aol.com,USA
Cool 101.3,"Milford, DE",cool@cool1013.com,USA
WTKS Orlando,"Cocoa Beach, FL",JeffWagstaff@wtks.com,USA
WDLT,"Saraland, AL",mark.mcmillen@cumulus.com,USA
The Source,"Tampa, FL",wmnf@wmnf.org,USA
Ardiente Radio,"Marco, FL",info@ardienteradio.com,USA
WUFT-FM,"Inverness, FL",radio@wuft.org,USA
Word FM,"Radnor, PA",info@wordfm.org,USA
WQCS-HD2,"Fort Pierce, FL",info@wqcs.org,USA
WMET,"Gaithersburg, MD",jessical@grnonline.com,USA
The Touch,"Gulf Breeze, FL",vernon@wrne980.com,USA
WZCC,"Chiefland, FL",john@suncoastradio.com,USA
WSBA,"York, PA",info@wsba910.com,USA
WJNO,"Wellington, FL",ethanbriner@clearchannel.com,USA
SupraFM,"Burlington, NJ",info@supra97.com,USA
SNJ Today,"Bridgeton, NJ",socialmedia@snjtoday.com,USA
The Seabreeze,"Miramar Beach, FL",info@seabreeze.fm,USA
Air1 Radio,"Gainesville, FL",air1@air1.com,USA
Radio Puissance Inter,"Jacksonville, FL",info@radiopuissanceinter.com,USA
Z88.3 FM,"Haines City, FL",zcrew@zradio.org,USA
1270 AM,"Eatonville, FL",1270am@gmail.com,USA
106.7 The Fan,"Manassas, VA",CNKinard@cbs.com,USA
WAVA-FM 105.1,"Arlington , VA",sales@wava.com,USA
WRDV,"Philadelphia, PA",info@WRDV.org,USA
Gospel Highway Eleven,"Norristown, PA",gospel@wnap1110am.com,USA
Old School 100.3,"Media, PA",jdolby@radio-one.com,USA
WKDU,"Philadelphia, PA",wkdu-gm@wkdu.org,USA
WRBS,"Baltimore, MD",info@wrbs.com,USA
WENG,"Englewood, FL",kenk@wengradio.com,USA
Spirit FM,"Tampa, FL",contact@spiritfm905.com,USA
AM 630 WMAL,"Washington, DC",chris.berry@citcomm.com,USA
Genesis 680,"St. Petersburg, FL",evelyn@genesis680.com,USA
La Zeta 105.3,"Nocatee, FL",info@lazeta.fm,USA
G Town Radio,"Philadelphia, PA",info@gtownradio.com,USA
WKTO,"New Smyrna Beach, FL",wkto@bellsouth.net,USA
WHUR-FM,"Washington, DC",programming@whur.com,USA
Magic 107.7 – Orlando,"Mount Dora, FL",laurakam@ccorlando.com,USA
Latino 99.7,"Kissimmee, FL",info@latino997.com,USA
The Zephyr,"Dade City, FL",Radio@WZPHFM.com,USA
SWFL Local News,"Fort Myers, FL",FORBISHER@EARTHLINK.NET,USA
98.5 KTK,"Crystal River, FL",gryan@entercom.com,USA
WQCS,"Fort Pierce, FL",info@wqcs.org,USA
WHYY-FM,"Bridgeton, NJ",talkback@whyy.org,USA
WRDJ-LP,"Merritt Island, FL",wrdj@wrdj.com,USA
WYRE,"Annapolis, MD",studio@810wyre.com,USA
92.5 Fox News,"Estero, FL",ian@925FOXNews.com,USA
All The Hits 107.3,"Washington, DC",Jay.Gleason@citcomm.com,USA
Coast 93.3,"Shalimar, FL",kylie@wncv.com,USA
WMOP,"Ocala, FL",Don@floridasportstalk.fm,USA
WMEL,"Cocoa Beach, FL",wmelradiojohn@gmail.com,USA
Calvary Radio,"Vero Beach, FL",radio@calvaryradiovero.com,USA
Fox Sports 1290,"Smyrna, DE",valerieallston@clearchannel.com,USA
The Beach,"Satellite Beach, FL",dpoore@beach985.com,USA
Danu Radio,"Philadelphia, PA",INFO@DANURADIO.COM,USA
The Link,"Bonita Springs, FL",webmaster@thelinkfm.com,USA
Hot 101.5,"St. Petersburg, FL",1015comments@coxradio.com,USA
Soft Rock 94.1,"Pensacola, FL",mcarr@softrock941.com,USA
1010XL,"Jacksonville Beach, FL",chadds@1010xl.com,USA
WVLG,"Wildwood, FL",WVLGRadio@thevillagesmedia.com,USA
WIGW,"Eustis, FL",kelly@kdkr.org,USA
Q105 Tampa Bay,"Tampa, FL",Scott@MyQ105.com,USA
WSRN-FM,"Swarthmore, PA",webmaster@wsrnfm.org,USA
Pure Radio Jacksonville,"Jacksonville, FL",mail@pureradiojax.org,USA
The Bay,"Baltimore, MD",jward@thebayonline.com,USA
Jibaro Radio,"Melbourne, FL",amigos@jibaroradio.com,USA
WSEB,"Englewood, FL",comments@wsebfm.com,USA
WUWF,"Pensacola, FL",wuwf@wuwf.org,USA
WNRP,"Pensacola, FL",PStadden@newsradio1620.com,USA
WDDE,"Dover, DE",info@delawarefirst.org,USA
The Fanatic,"Burlington, NJ",mnahigian@975thefanatic.com,USA
WQBQ,"Leesburg, FL",wqbqradio@gmail.com,USA
Air1 Radio,"Inglis, FL",air1@air1.com,USA
WTOP,"Washington, DC",jmeyer@wtop.com,USA
BBN English,"Lakeland, FL",bbn@bbnradio.org,USA
Ben FM,"Philadelphia, PA",Questions@ilikebenfm.com,USA
WMFE-FM,"Orlando, FL",wmfe@wmfe.org,USA
WIRA,"Fort Pierce, FL",wira1400@yahoo.com,USA
WRMF,"Palm Beach, FL",comments@wrmf.com,USA
1220AM-La Primera,"Kissimmee, FL",info@magica1220am.net,USA
Grow Radio,"Gainesville, FL",growradio@gmail.com,USA
WUSF,"Tampa, FL",info@wusf.org,USA
XPN2,"Philadelphia, PA",wxpndesk@xpn.org,USA
GeoTraffic Philadelphia Traffic Report,"Philadelphia, PA",info@tangotraffic.com,USA
The Point,"Havre de Grace, MD",info@1047thepoint.com,USA
The Voice,"Middletown, DE", postmaster@wdac.com,USA
La Voz 1440,"Sanford, FL",wprd1440@gmail.com,USA
Reach Radio,"Dover, DE",listenercare@myreachradio.com,USA
Super 1360 AM,"Vineland, NJ",wnjcradio@yahoo.com,USA
Z88.3 FM,"Clermont, FL",zcrew@zradio.org,USA
WFIL,"Philadelphia, PA",wfil@wfil.com,USA
107.3,"Pensacola, FL",paulapetersen@clearchannel.com,USA
Max 98.3,"Fort Meade, FL",mike@max983fm.com,USA
WCUR,"West Chester, PA",wcur.gm@gmail.com,USA
La Que Buena 1310,"Wauchula, FL",marvinaayala@hotmail.com,USA
Bulls Radio,"Tampa, FL",bullsradiousf@gmail.com,USA
BBN English,"Gainesville, FL",bbn@bbnradio.org,USA
Radio America,"Wheaton, MD",diana@radioamerica.net,USA
WMFE Classical,"Orlando, FL",wmfe@wmfe.org,USA
Air1 Radio,"San Jose, FL",air1@air1.com,USA
1047 The Flame,"White City, FL",mikki@wflm.cc,USA
Praise 104.1,"Waldorf, MD",rthompson@radio-one.com,USA
WCHE 1520,"West Chester, PA",wche@wche1520.com,USA
WUST,"Washington, DC",contactwust@wust1120.com,USA
Classic 98 Rock,"Baltimore, MD",classic98rock@hearst.com,USA
iradiophilly Isis,"Philadelphia, PA",iradiophilly@gmail.com,USA
WILC,"Laurel, MD",Bryanb@900wilc.com,USA
Rejoice Radio,"Vero Beach, FL",rbn@rejoice.org,USA
WEBY,"Milton, FL",weby@1330weby.com,USA
La Exitosa,"Milford, DE",staff@laexitosa.com,USA
Reach FM,"Grant, FL",info@reachfm.org,USA
Praise 107.9,"Neptune Beach, FL",contact@praise1079.com,USA
iradiophilly Pulsations,"Philadelphia, PA",iradiophilly@gmail.com,USA
WZQR,"Bokeelia, FL",request@wzqr.fm,USA
iradiophilly Hang,"Philadelphia, PA",iradiophilly@gmail.com,USA
WFTW,"Fort Walton Beach, FL",ken@wftw.com,USA
WAMU,"Washington, DC",feedback@wamu.org,USA
News Radio 1450 WILM,"Wilmington, DE",marthaburns@clearchannel.com,USA
Sports Talk 570,"Bethesda, MD",management@espn980.com,USA
WJUP-LP,"Jupiter, FL", kathy@wjtwfm.com,USA
iradiophilly Bell Bottoms,"Philadelphia, PA",iradiophilly@gmail.com,USA
103.7 the Gator,"Gainesville, FL",jbutler@wruf.com,USA
WWJB,"Brooksville, FL",info@wwjb.com,USA
Joy 106.3,"Daytona Beach, FL",januaryinfo@gmail.com,USA
The Source,"Ocala, FL",WOCA@WOCA.com,USA
iradiophilly Slick,"Philadelphia, PA",iradiophilly@gmail.com,USA
Federal News Radio,"Washington, DC", jzeigler@federalnewsradio.com,USA
iradiophilly Libra,"Philadelphia, PA",iradiophilly@gmail.com,USA
MMaRchives,"Philadelphia, PA",webmaster@wmmr.com,USA
Radio Luz,"Brandon, FL",ipttampa@hotmail.com,USA
98.1 WOGL,"Philadelphia, PA",lisa.morton@cbsradio.com,USA
WFCF,"St. Augustine, FL",wfcf@flagler.edu,USA
MIX 105.1,"Orlando, FL",webmaster@mix1051.com,USA
89.3 K-LOVE Radio KLOV,"Jacksonville, FL",klove@klove.com,USA
Beach 92.7,"Beverly Beach, FL",david@beach927.com,USA
Eagle 97.7,"Milford, DE",staff@eagle977.com,USA
WXOF,"Yankeetown, FL",Staff@thefox967.com,USA
WPBI News,"Gifford, FL",mail@ClassicalSouthFlorida.org,USA
Danu Radio,"Fort Lauderdale, FL",INFO@DANURADIO.COM,USA
K-Light,"Honolulu, HI",klhtradio@gmail.com,USA
KSSK-FM,"Waipahu, HI",jamiehyatt@clearchannel.com,USA
740 The Game,"Maitland, FL",rickeverett@ccorlando.com,USA
Z103,"Idaho Falls, ID",onair@z103.fm,USA
AM 560 The Answer,"Chicago, IL",GeneralManager@560wind.com,USA
Alt 105.9,"Honolulu, HI",alt1059@gmail.com,USA
U.S. 105.9,"Mahomet, IL",corey@cu-radio.com,USA
FM 102.5 / AM 540 WFLA,"Pine Hills, FL",tombenson@clearchannel.com,USA
Radio Fiesta,"Lake Worth, FL",wwrf@radiofiesta.com,USA
The Wolf,"Marseilles, IL",programdirector@20inarowcountry.com,USA
WUSF,"Tampa, FL",info@wusf.org,USA
Galesburg Radio 14,"Galesburg, IL",wgil@wgil.com,USA
MY939,"Miami Beach, FL",Rmcmillan@ccmiami.com,USA
KSPD,"Boise, ID",info@myfamilyradio.com,USA
Freedom 93FM,"Gretna, FL",will@magicfl.com,USA
89.3 K-LOVE Radio KLOV,"West Palm Beach, FL",klove@klove.com,USA
KTSY,"Caldwell, ID",family@ktsy.org,USA
WJFM,"Crete, IL",onair@jsm.org,USA
105.9 SUNNY FM,"De Land, FL",rick.stacy@cbsradio.com,USA
KIJI,"Tumon, GU",fm104admin@kijifm104.com,USA
Gospel Highway Eleven,"Norristown, PA",gospel@wnap1110am.com,USA
Z92 Miami,"Hialeah, FL",saludos@clasica92fm.com,USA
Cadena Azul 1550 AM Musical,"Miami, FL",info@cadenaazul.com,USA
1240 & 1350 WMMB,"Cocoa, FL",billmick@clearchannel.com,USA
WIGW,"Eustis, FL",kelly@kdkr.org,USA
WMEL,"Cocoa Beach, FL",wmelradiojohn@gmail.com,USA
KROCK 101.5,"Waianae, HI",krock1015@hhawaiimedia.com,USA
KPOA,"Lahaina, HI",studio@kpoa.com,USA
WGLT,"Normal, IL",wglt@ilstu.edu,USA
89.3 K-LOVE Radio KLOV,"Key West, FL",klove@klove.com,USA
La X,"Bartow, FL",programacion@lax1460.com,USA
The Wave,"Holualoa, HI",scott@konafm.com,USA
WAZU,"Peoria, IL",comments@wazufm.org,USA
Super 1360 AM,"Vineland, NJ",wnjcradio@yahoo.com,USA
La Que Buena,"Winter Garden, FL",info@ramacomm.com,USA
Beach 95.1,"Ebro, FL",dnolin@beach951.com,USA
Kool Oldies 99.5,"Fruitland, ID",debbie@tvbradio.com,USA
93MGR,"Bainbridge, GA",cvoyles@wmgr.net,USA
The Zephyr,"Dade City, FL",Radio@WZPHFM.com,USA
WTMJ,"Milwaukee, WI",eric.brooks@wtmj.com,USA
Air1 Radio,"Champaign, IL",air1@air1.com,USA
Gospel 1490,"Miami, FL",wmbm@wmbm.com,USA
SAM FM,"Ottawa, IL",info@ottawaradio.net,USA
iradiophilly Mustang,"Philadelphia, PA",iradiophilly@gmail.com,USA
The Edge,"Springfield, IL",info@wqna.net,USA
WJVO,"South Jacksonville, IL",sarahwjvo@mchsi.com,USA
WMFE-FM,"Orlando, FL",wmfe@wmfe.org,USA
WCRA,"Effingham, IL",wcrc@wcrc957.com,USA
WPBV-LP,"Palm Beach, FL",roncrider@gmail.com,USA
89.3 K-LOVE Radio KLOV,"Hilo, HI",klove@klove.com,USA
WTKS Orlando,"Cocoa Beach, FL",JeffWagstaff@wtks.com,USA
Local 840,"Mims, FL",wpgs840@aol.com,USA
WRMB,"Okeechobee, FL",wrmb@moody.edu,USA
Power 106,"Genoa, IL",jkelly@dontron.net,USA
WFDM,"Fort Walton Beach, FL",salesdept@freedom945.com,USA
Z 100,"Harrisburg, IL",tracym@riverradio.net,USA
iradiophilly Trinity,"Philadelphia, PA",iradiophilly@gmail.com,USA
KOOL 107.9,"'Aiea, HI",phil@salemhawaii.com,USA
WAIK,"Galesburg, IL",Vanessa.Wetterling@prairiecommunications.net,USA
WDCR,"Oreana, IL",contact@wdcrradio.com,USA
WJFM,"Key West, FL",onair@jsm.org,USA
KPMW,"Haliimaile, HI",brandon@wild105.net,USA
K92.3 Orlando's Country,"Orlando, FL",len.shackelford@coxradio.com,USA
KSEI,"Pocatello, ID",comments@930thecruise.com,USA
Sun Radio,"Sun City Center, FL",info@wscqfm.com,USA
NOAA Weather Radio,"Pensacola, FL",chuck@wunderground.com,USA
KAKU-LP,"Kahului, HI",live@akaku.org,USA
WITS,"Sebring, FL",cohanradiogroup@htn.net,USA
Inspiration 1400,"Zephyrhills, FL",lola@tantalk1340.com,USA
KHCM,"Honolulu, HI",igbc@igbc.net,USA
Harvard Community Radio,"Harvard, IL",harvardradio@gmail.com,USA
KKCR,"Hanalei, HI",kkcr@kkcr.org,USA
The Ball,"Dothan, AL",GENERAL@997WOOFFM.COM,USA
WLRA,"Romeoville, IL", wlraradio@lewisu.edu,USA
WPBR,"Lantana, FL",sr@wpbr1340am.com,USA
Talk Radio 101,"Panama City Beach, FL",talk@magicfl.com,USA
Toccoa Falls Radio,"Toccoa Falls, GA",radio@myfavoritestation.net,USA
Tan Talk,"Clearwater, FL",Lola@TanTalk1340.com,USA
LightForce Radio,"Bradenton, FL",verlin@lightforceradio.com,USA
Rowan Radio,"Glassboro, NJ",wgls@rowan.edu,USA
Diapason Jibaro Radio,"Orlando, FL",diapasonjibaro@yahoo.com,USA
KPUA,"Hilo, HI",news@kpua.net,USA
WRDJ-LP,"Merritt Island, FL",wrdj@wrdj.com,USA
FM 100,"Honolulu, HI",wayne.maria@summitmediacorp.com,USA
890 WLS-AM,"Chicago, IL",Timothy.Connolly@citcomm.com,USA
WXYB,"Indian Rocks Beach, FL",angelos@wpso.com,USA
Air1 Radio,"Decatur, IL",air1@air1.com,USA
Radio Luz,"Brandon, FL",ipttampa@hotmail.com,USA
B95,"DeKalb, IL",ontheair@b95fm.com,USA
NewsRadio WTAX,"Springfield, IL",meccles@wtax.com,USA
Z88.3 FM,"Union Park, FL",zcrew@zradio.org,USA
92.5 Maxima FM,"Safety Harbor, FL",juan.fernando@cbsradio.com,USA
94.7 KUMU,"Honolulu, HI",dfogle@frcap.com,USA
Rock 102,"Pocatello, ID",request@102kmgi.com,USA
POWER96,"Miami, FL",pio.ferro@power96.com,USA
96.9 The Eagle,"Nampa, ID",Matt.Nielsen@citcomm.com,USA
WINK-FM,"Fort Myers, FL",michael@winkfm.com,USA
Krater 963,"Kawaihae, HI",wayne@krater96.com,USA
Air1 Radio,"Long Creek, IL",air1@air1.com,USA
WHJG-LP,"Rockford, IL",pastorjerryhall@gmail.com,USA
WAVS,"Davie, FL",info@wavs1170.com,USA
The Wolf,"Springfield, IL",cferguson@capitolradiogroup.com,USA
KOPO-LP,"Paia, HI",admin@pyccmaui.org,USA
NewsTalk 1400,"Champaign, IL",talk@wdws.com,USA
Classy 97,"Blackfoot, ID",mike@klce.com,USA
WDUN,"Clarkesville, GA",sandy.griffin@jacobsmedia.net,USA
WGCY,"Gibson City, IL",garymccullough@wgcyradio.com,USA
WSOY,"Decatur, IL",news@wsoyam.com,USA
The Palm,"North Palm Beach, FL",Chet@seaviewradio.com,USA
WAFC,"Clewiston, FL",dialdeal@wafcamfm.com,USA
WITY,"Danville, IL",office@wityradio.com,USA
KEIR,"Idaho Falls, ID",dylan@eastidahonews.com,USA
KHPR,"Wailuku, HI",admin@hawaiipublicradio.org,USA
