country,station,location,email-href
Rwanda,"Radio Maria

      English","Kigali, Rwanda",mailto:radiomariarwanda@gmail.com
Rwanda,"BBC World Service Kigali

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Burkina Faso,"Radio Burkina

      French",,mailto:radio@rtb.bf
Cote D'ivoire,"Bassam FM

      Premier sur les Hits!","Yamoussoukro, Côte d'Ivoire",mailto:charles@bassamfm.com
Reunion,"RER

      French","Sainte-Rose, Reunion",http://tunein.com/Syndication/Edit/?stationId=181775
Kenya,"Kameme FM

      Kayu Ka Muingi","Nairobi, Kenya",mailto:info@kamemefm.com
Egypt,"Hona Al Qahera

      Arabic","Giza, Egypt",http://tunein.com/Syndication/Edit/?stationId=230031
Burundi,"Radio Isanganiro

      Le Dialogue Vaut Mieux Que La Force",,mailto:isanganiro@yahoo.fr
DR Congo,"Radio Okapi

      Une Voix Pour Tous !",,mailto:info@hirondelle.org
Benin,"LC2 International

      French","Porto-Novo, Benin",http://tunein.com/Syndication/Edit/?stationId=100800
Sierra Leone,"RFI 1 Afrique / RFI 2

      French",,http://tunein.com/Syndication/Edit/?stationId=6218
Cameroon,"Sky One Radio

      French","Yaounde, Cameroon",mailto:contact@skyonecameroun.com
South Africa,"Motsweding FM

      Multilingual","Johannesburg, South Africa",mailto:mmekoasc@sabc.co.za
Madagascar,"Alliance 92

      Votre Couleur Musicale","Antananarivo, Madagascar",mailto:frequence92@live.fr
Mozambique,"Rádio Pieia

      Portuguese","Beira, Mozambique",mailto:info@radio.pieia.org
Mauritius,"BBC World Service Bigara

      BBC World Service is the...","Port Louis, Mauritius",mailto:bbcwsafrica@bbc.co.uk
Namibia,"Kanaal 7

      English",,mailto:kanaal7@k7.com.na
Kenya,"GHETTO FM

      An Amplified Voice for the Voiceless!","Nairobi, Kenya",http://tunein.com/Syndication/Edit/?stationId=174580
Senegal,"Walf FM

      French","Dakar, Senegal",http://tunein.com/Syndication/Edit/?stationId=47624
Gambia,"Capital FM

      Sound of a New Generation",,mailto:saulsounds@gmail.com
Benin,"Radio Tokpa

      Votre Partenaire",,http://tunein.com/Syndication/Edit/?stationId=141168
Namibia,"Katutura Community Radio

      English","Katutura, Namibia",http://tunein.com/Syndication/Edit/?stationId=119486
Western Sahara,"Radio Nacional de la RASD

      Western Sahara",,http://tunein.com/Syndication/Edit/?stationId=16105
Algeria,"Radio Saoura Bechar

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16046
Reunion,"RSL Radio

      The Sun Station!","Saint-Pierre, Saint-Pierre, Reunion",http://tunein.com/Syndication/Edit/?stationId=6360
Morocco,"Chada FM

      Multilingual","Casablanca, Morocco",mailto:contact@chadafm.net
Angola,"RNA R Malange

      Portuguese","Malange, Angola",http://tunein.com/Syndication/Edit/?stationId=251462
Mozambique,"Radio Maria (Mozambique)

      Portuguese",,mailto:info.moz@radiomaria.org
Lesotho,"Radio Lesotho

      English",,http://tunein.com/Syndication/Edit/?stationId=10282
Mali,"Radio Dande

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=16079
Ghana,"Atinka 104.7 FM

      Feeling Wom","Accra, Ghana",mailto:info@atinkaonline.com
Zambia,"Yatsani Radio

      The mission of Yatsani...",,http://tunein.com/Syndication/Edit/?stationId=47637
Kenya,"1 fm

      Local and Urban Hits","Nairobi, Kenya",mailto:ericit@1fm.co.ke
Tunisia,"Shems FM

      English","El Haouaria, Tunisia",http://tunein.com/Syndication/Edit/?stationId=129025
South Africa,"CliffCentral

      uncensored unscripted...",,mailto:contact@cliffcentral.com
Gambia,"Senn FM Radio

      The Radio That Makes The difference",,http://tunein.com/Syndication/Edit/?stationId=252113
Ethiopia,"Fana FM Radio

      English",,http://tunein.com/Syndication/Edit/?stationId=182754
Sudan,"Miraya FM

      Arabic","Khartoum, Sudan",http://tunein.com/Syndication/Edit/?stationId=66885
Comoros,"Radio Anjouan

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=65691
Angola,"RNA R Cabinda

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251453
Mauritius,"MBC Radio Maurice 1

      English","Malherbes, Port Louis, Mauritius",mailto:customercare@mbc.intnet.mu
Algeria,"الإذاعة الجزائرية - القناة الأولى

      الصوت الأقرب إليك","Algiers, Algeria",http://tunein.com/Syndication/Edit/?stationId=16034
Togo,"Omega FM

      La Fréquence De Vie",,mailto:omegafm@omegafm.com
Kenya,"Family Radio - Radio 316

      Endless Music",,http://tunein.com/Syndication/Edit/?stationId=6131
Reunion,"RJL Radio

      La Radio Soleil Dans Le Sud",,http://tunein.com/Syndication/Edit/?stationId=198382
Libya,"Radio Zone 100.7

      Your Voice Only","Tripoli, Libyan Arab Jamahiriya",mailto:Info@RadioZone.ly
Cote D'ivoire,"Radio Cocody FM

      La Radio qui s'impose a abidjan",,mailto:info@radiococodyfm.com
Morocco,"Medi 1

      Ia Radio Du Grand Maghreb Au Maroc","Tangier, Morocco",mailto:medi1@medi1.com
Rwanda,"Flash FM Rwanda

      The Best Mix Of Music",,mailto:info@flashfm.rw
Zambia,"ZNBC Radio 2

      Sound Vision For The Future","Lusaka, Lusaka, Zambia",mailto:hyde.haguta@znbc.co.zm
Liberia,"STAR radio Liberia

      starradio.com is your...",,http://tunein.com/Syndication/Edit/?stationId=106962
Benin,"Radio Immaculée Concepción

      French","Cotonou, Benin",http://tunein.com/Syndication/Edit/?stationId=16108
Uganda,"Radio Pacis

      Peace of Christ For All","Arua, Uganda",mailto:tonino.p.arua@radiopacis.org
Libya,"LJB Holy Koran

      Arabic","Tripolis, Libyan Arab Jamahiriya",http://tunein.com/Syndication/Edit/?stationId=16152
Malawi,"Star FM

      Better Information - Today's Best Music","Blantyre, Southern, Malawi",mailto:info@starradiomw.com
Benin,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16106
Reunion,"Radio Pikan

      French",,mailto:secretariat@kanal-renionite.org
Gabon,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16131
Gambia,"Star FM 96.6 Banjul

      We spot light the brightest and the best","Sere Kunda, Gambia",mailto:starfmgambia@yahoo.com
Egypt,"El Gouna Radio

      Your Favorite Wave","Hurghada, Egypt",mailto:romolo1@romolo.com
Ghana,"Metro 94.1 FM

      Believe in Better","Kumasi, Ghana",mailto:samson.deen@metro941.fm
Sudan,"Furgan FM

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=179582
Reunion,"Radio Arc-en-Ciel

      French","Le Tampon, Reunion",http://tunein.com/Syndication/Edit/?stationId=6340
Morocco,"الإذاعة الأمازيغية

      Arabic","Rabat, Morocco",http://tunein.com/Syndication/Edit/?stationId=129392
Ghana,"KASAPA FM

      Agye Bebiaaaa",,mailto:info@kasapafmonline.com
Egypt,"الراديو 9090

      هواها مصري","Cairo, Egypt",mailto:info@mobtada.com
Equatorial Guinea,"TVGE International

      English","Bata, Equatorial Guinea",http://tunein.com/Syndication/Edit/?stationId=151162
Algeria,"Radio Algerienne Chaine 2

      ستعرف رياضة كرة السلة...","Alger, Algeria",http://tunein.com/Syndication/Edit/?stationId=2418
Namibia,"NBC Damara Nam

      English",,http://tunein.com/Syndication/Edit/?stationId=119488
DR Congo,"RFI 1 Afrique

      French","Poie, DR Congo",http://tunein.com/Syndication/Edit/?stationId=6244
Malawi,"YONECO FM

      Real Voice for the youth,Women and Children","Zomba, Malawi",mailto:panjiharawa@yoneco.org.mw
Guinea-Bissau,"Rádio Jovem Guiné-Bissau

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=158284
Mauritius,"MBC Radio Rodrigues

      French",,mailto:customercare@mbc.intnet.mu
Libya,"Tripoli FM

      English",,mailto:info@tripolifm.ly
Swaziland,"TWR Africa

      Your Friendly Voice In Africa","Mbabane, Swaziland",mailto:info@twrafrica.org
Morocco,"Radio 2M

      Tous ce que j'aime.. Est sur Radio 2M",,mailto:srafie@2m.ma
Kenya,"Classic 105

      Good Times and Great Hits",,mailto:info@classic105.com
Sudan,"Khartoum FM

      The First Sudanese Economic Radio",,mailto:admin@kfm89.net
Senegal,"xfm

      French",,http://tunein.com/Syndication/Edit/?stationId=242446
Cape Verde,"RFI 1 Afrique / RFI 2

      Actualité Afrique, Monde En Français Et En 19 Langues","Santiago, Cape Verde",http://tunein.com/Syndication/Edit/?stationId=16074
Senegal,"xfm

      French","Dakar, Senegal",http://tunein.com/Syndication/Edit/?stationId=242446
Cote D'ivoire,"Nostalgie FM

      Nostalgie La Legende","Abidjan, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=90592
Mali,"Radio Guintan

      La Voix des Femmes","Magnambougou, Mali",http://tunein.com/Syndication/Edit/?stationId=45240
Tanzania,"Radio Safina

      Swahili",,mailto:dchristlife@yahoo.com
Tunisia,"Shems FM

      Shems FM Live : Suivez...","Gafsa, Tunisia",mailto:contact@shemsfm.net
Central African Republic,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16088
Botswana,"RB1-Radio Botswana

      The Department of Information and Broadcasting","Gaborone, Botswana",mailto:asesinyi@gov.bw
Kenya,"Family Radio - Radio 316

      Endless Music","Nairobi, Kenya",http://tunein.com/Syndication/Edit/?stationId=6131
Burkina Faso,"Radio Burkina

      French","Ouagadougou, Burkina Faso",mailto:radio@rtb.bf
Benin,"RFI 1 Afrique

      French","Cotonou, Benin",http://tunein.com/Syndication/Edit/?stationId=16107
Zimbabwe,"Star Fm

      English","Harare, Zimbabwe",http://tunein.com/Syndication/Edit/?stationId=182260
Mali,"Radio Patriote

      French",,http://tunein.com/Syndication/Edit/?stationId=116718
Senegal,"RTS Ziguinshor FM

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=238791
Angola,"Radio N'Gola Yetu RNA

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=6231
Senegal,"Lamp Fall FM

      Baidy Thioune Chef De Station",,mailto:fallamptv@gmail.com
Namibia,"NBC Lozi

      Multilingual","Klein Windhoek, Namibia",mailto:fzinner@nbc.na
Ghana,"Peace FM

      The Station With A Vision",,mailto:daara90@gmail.com
Central African Republic,"BBC World Service Bangui

      BBC World Service is the...","Bangui, Central African Republic",mailto:bbcwsafrica@bbc.co.uk
Cameroon,"CRTV

      Cameroon Radio and Television","Yaoundé, Cameroon",mailto:fm94@crtv.cm
Sierra Leone,"RADIOKRIO

      English",,mailto:MAFERECAMARA@YAHOO.COM
Gambia,"Star FM 96.6 Banjul

      We spot light the brightest and the best",,mailto:starfmgambia@yahoo.com
Zambia,"Yatsani Radio

      The mission of Yatsani...","Lusaka, Zambia",http://tunein.com/Syndication/Edit/?stationId=47637
Tunisia,"Tunisie 7

      Hungarian","Carthage, Tunisia",http://tunein.com/Syndication/Edit/?stationId=150957
Namibia,"NBC Herero

      English",,http://tunein.com/Syndication/Edit/?stationId=6305
Uganda,"100.4 Hills Fm

      Sound From The Hills",,http://tunein.com/Syndication/Edit/?stationId=249868
Mauritania,"Radio Coran

      Radio diffusant le saint...",,mailto:info@radiomauritanie.mr
Nigeria,"Radio Continental

      The Loudest Conversation....",,mailto:contactus@rc1023.fm
Senegal,"RTS Matam FM

      Multilingual","Ourossogui, Senegal",http://tunein.com/Syndication/Edit/?stationId=238797
Algeria,"Radio Skikda

      Urdu",,mailto:info@radio-skikda.dz
Gambia,"Unique FM

      ...Renewed Sound in You",,mailto:info@uniquefm.gm
Nigeria,"Cool FM 96.9 Abuja

      Your #1 Hit Music Station",,mailto:rcahilig@coollink.us
Mozambique,"Radio Encontro

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=6287
Malawi,"Capital FM Malawi

      Malawi's Hit Music Station",,mailto:music@capitalradiomalawi.com
Mozambique,"Radio Encontro

      Portuguese","Nampula, Mozambique",http://tunein.com/Syndication/Edit/?stationId=6287
Angola,"RNA R Namibe

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251457
Togo,"Radio Maria (Togo)

      Une Voix Chrétienne Qui T'accompagne","Lomé, Togo",mailto:director.tog@radiomaria.org
Namibia,"Energy 100 FM

      The Power Station",,mailto:studio@energy100fm.com
Swaziland,"Radio Swaziland English

      English",,http://tunein.com/Syndication/Edit/?stationId=107955
Zambia,"Chikuni Radio

      English",,mailto:chikuniradio@gmail.com
Ghana,"Radio Gold FM

      Your Power Station !!!",,mailto:radiogold@ucomgh.com
Congo,"BBC World Service Kinshasa

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Burkina Faso,"Ouaga FM

      La radio de toutes les générations",,mailto:radio.ouaga@yahoo.fr
Algeria,"JIL FM

      Multilingual","Chrea, Algeria",http://tunein.com/Syndication/Edit/?stationId=154053
Benin,"Radio Bani Gansé

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=10925
Sierra Leone,"FoP Radio

      English","Moyamba, Sierra Leone",mailto:fopnetwork@gmail
Nigeria,"Smooth 98.1

      Love Music Love Life",,mailto:info@smooth981.fm
Ghana,"Joy FM

      Super Hits Radio !!","Accra, Ghana",mailto:info@myjoyonline.com
Mali,"Citizen Radio Voice

      The radio voice of the citizen","Bamako, Mali",http://tunein.com/Syndication/Edit/?stationId=189038
Ghana,"Okay FM

      English","Accra, Ghana",http://tunein.com/Syndication/Edit/?stationId=137336
Senegal,"Bambilorfm

      French","Bambilor, Senegal",http://tunein.com/Syndication/Edit/?stationId=140804
Morocco,"Med Radio

      Arabic","Casablanca, Morocco",http://tunein.com/Syndication/Edit/?stationId=158167
Namibia,"Radio Wave

      #1 Hit Music Station",,mailto:robin@radiowave.com.na
Rwanda,"102.3 KISS FM

      Kigali's Number 1 Hit Music Station!",,mailto:info@kissfm.rw
Egypt,"FM نغم

      English","Cairo, Egypt",http://tunein.com/Syndication/Edit/?stationId=212844
Kenya,"Ghetto Radio

      Multilingual",,mailto:info@ghettoradio.co.ke
Tunisia,"Radio Jawhara

      Radio Jawhara FM, Tunisie...",,mailto:ridhabnj@gmail.com
Eritrea,"Dimtsi Hafash Radio 2

      Voice of the Broad Masses","Asmara, Eritrea",http://tunein.com/Syndication/Edit/?stationId=16094
Algeria,"Radio Tassili

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16040
Madagascar,"viva radio madagascar

      le feeling de toutes les générations","Antananarivo, Madagascar",mailto:viva.infog@blueline.mg
Zimbabwe,"Praise 105.2 Radio

      English",,http://tunein.com/Syndication/Edit/?stationId=245456
Algeria,"Radio El Bahdja

      بعد الشدة - تجي الفرجة مع إذاعة البهجة","Bordj El Bahri, Algeria",mailto:info@algerian-radio.dz
Uganda,"Alpha Fm

      Touching Lives","Kampala, Uganda",mailto:damasese@operamail.com
Burundi,"Radio Isanganiro

      Le Dialogue Vaut Mieux Que La Force","Bujumbura, Burundi",mailto:isanganiro@yahoo.fr
Reunion,"EXO FM

      La radio soleil numéro 1",,mailto:gtmoi974@yahoo.fr
Ghana,"Metro 94.1 FM

      Believe in Better",,mailto:samson.deen@metro941.fm
Togo,"Radio JVA

      Jésus vous aime","Lomé, Togo",mailto:radiojva@yahoo.fr
Botswana,"Duma FM

      English","Gaborone, Botswana",http://tunein.com/Syndication/Edit/?stationId=138245
Uganda,"Beat FM

      EKINTABULI KYO' MUZIKI",,mailto:technical@capitalfm-ug.com
Libya,"Radio Zone 100.7

      Your Voice Only",,mailto:Info@RadioZone.ly
Ghana,"Radio Gold FM

      Your Power Station !!!","Accra, Ghana",mailto:radiogold@ucomgh.com
Malawi,"Zodiak Radio

      Zikachitika Mumvera kwa ife.",,http://tunein.com/Syndication/Edit/?stationId=122168
Morocco,"R Casa

      Arabic","Casablanca, Morocco",http://tunein.com/Syndication/Edit/?stationId=247890
Morocco,"Radio 2M

      Tous ce que j'aime.. Est sur Radio 2M","Casablanca, Morocco",mailto:srafie@2m.ma
Eritrea,"Dimtsi Hafash Radio 2

      Voice of the Broad Masses",,http://tunein.com/Syndication/Edit/?stationId=16094
Kenya,"Capital FM

      Your Best Mix of Music","Nairobi, Kenya",mailto:digital@capitalfm.co.ke
Ethiopia,"EBC Addis 97.1

      Multilingual","Addis Abeba, Ethiopia",http://tunein.com/Syndication/Edit/?stationId=138734
Madagascar,"viva radio madagascar

      le feeling de toutes les générations",,mailto:viva.infog@blueline.mg
Senegal,"BFMinfo

      French","Dakar, Senegal",http://tunein.com/Syndication/Edit/?stationId=168647
Sierra Leone,"FoP Radio

      English",,mailto:fopnetwork@gmail
Benin,"Radio Bani Gansé

      Multilingual","Banikoara, Benin",http://tunein.com/Syndication/Edit/?stationId=10925
Seychelles,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=14399
Ghana,"Hitz FM

      Means Entertainment","Accra, Ghana",mailto:info@myjoyonline.com
Morocco,"TV Sahara

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=104670
Burundi,"BBC World Service Bujumbura

      BBC World Service is the...","Bujumbura, Burundi",mailto:bbcwsafrica@bbc.co.uk
Eritrea,"Eritrea FM Channel 3

      English","Asmara, Eritrea",http://tunein.com/Syndication/Edit/?stationId=103396
Tanzania,"East Africa Radio

      Together Tunawakilisha","Dar Es Salaam, Tanzania",mailto:info@eastafricaradio.com
Burkina Faso,"Radio Unitas

      English",,mailto:unitasdbg@voil%C3%A0.fr
Malawi,"TWR Africa

      Your Friendly Voice In Africa","Blantyre, Malawi",mailto:info@twrafrica.org
Libya,"Voice of Tripoli

      Arabic","Tripolis, Libyan Arab Jamahiriya",http://tunein.com/Syndication/Edit/?stationId=16150
Reunion,"Fun Radio Reunion

      Le son dancefloor",,mailto:radio@funradio.re
Senegal,"Sud FM

      Sen Radio",,http://tunein.com/Syndication/Edit/?stationId=6977
Gambia,"Taranga FM

      The Voice of Kombo North",,mailto:alagie72@yahoo.com
Uganda,"Dembe FM

      English",,mailto:Administration@ugamuziki.com
Zambia,"ZNBC R1

      Sound Vision For The Future","Lusaka, Lusaka, Zambia",mailto:hyde.haguta@znbc.co.zm
Libya,"LJB Arabic

      Arabic","Tripolis, Libyan Arab Jamahiriya",http://tunein.com/Syndication/Edit/?stationId=16148
Reunion,"Fun Radio Reunion

      Le son dancefloor","Saint-Denis, Reunion",mailto:radio@funradio.re
Mali,"BBC World Service Bamako

      BBC World Service is the...","Bamako, Bamako, Mali",mailto:worldservice@bbc.co.uk
Zambia,"Parliament Radio

      English",,http://tunein.com/Syndication/Edit/?stationId=110048
Ethiopia,"Sheger 102.1 FM

      It's about you!","Addis Abeba, Ethiopia",mailto:info@shegerfm.com
Angola,"RNA R Lobito

      Portuguese","Lobito, Angola",http://tunein.com/Syndication/Edit/?stationId=251464
Angola,"RNA R Huila

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251455
Comoros,"Radio Dziyalandze

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=65690
Zambia,"Radio Maranatha

      Compartiendo el mensaje de salvación",,mailto:fmradiomaranatha@gmail.com
Equatorial Guinea,"TVGE International

      English",,http://tunein.com/Syndication/Edit/?stationId=151162
Egypt,"راديو مصر

      لكل مصر",,http://tunein.com/Syndication/Edit/?stationId=122485
Senegal,"Radio Senegal International

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=16350
Rwanda,"Radio Rwanda

      Office Rwandais d' Information","Kigali, Kigali, Rwanda",mailto:skarere@rba.co.rw
Djibouti,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16092
Lesotho,"Lesotho Catholic Radio FM

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142263
South Africa,"Phalaphala FM

      Hu Bvuma Yone Fhedzi","Johannesburg, South Africa",mailto:maumelair@sabc.co.za
St. Helena,"BBC World Service English Bay

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Namibia,"NBC Rukavango

      Namibian Broadcasting...",,mailto:fzinner@nbc.na
DR Congo,"Congo Planete TV 2

      French","Kinshasa, DR Congo",mailto:info@congoplanet.com
Morocco,"إذاعة محمد السادس للقرآن الكريم

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=133435
Namibia,"Radio Wave

      #1 Hit Music Station","Klein Windhoek, Namibia",mailto:robin@radiowave.com.na
Eritrea,"Zara FM

      English",,http://tunein.com/Syndication/Edit/?stationId=103395
South Africa,"Thobela FM

      Mosito A Tswela Pele","Johannesburg, South Africa",mailto:Thobelafm@sabc.co.za
Lesotho,"Ultimate FM

      English",,http://tunein.com/Syndication/Edit/?stationId=142269
Rwanda,"ISANGO STAR

      English",,mailto:info@isangostar.rw
Mauritius,"BBC World Service Bigara

      BBC World Service is the...",,mailto:bbcwsafrica@bbc.co.uk
Ethiopia,"Radio Ethiopia - National Service

      External Service And Internal Service",,mailto:radioethiopia@usa.net
Lesotho,"MoAfrika FM

      English",,http://tunein.com/Syndication/Edit/?stationId=142265
Cote D'ivoire,"RFI 1 Afrique

      French","Bouake, Ivory Coast",http://tunein.com/Syndication/Edit/?stationId=16127
Egypt,"Al-Aghani

      Arabic",,mailto:ads@elaghany.com
Djibouti,"RFI 1 Afrique

      French","Djibouti, Djibouti",http://tunein.com/Syndication/Edit/?stationId=16092
Senegal,"RTS Tamba FM

      Multilingual","Tambacounda, Senegal",http://tunein.com/Syndication/Edit/?stationId=238790
Cote D'ivoire,"Ivorian TV

      The Music Channel",,mailto:contact@ivorian.tv
Ethiopia,"Zami 90.7 FM

      The Voice The Difference",,mailto:contact@zamiradio.com
Mali,"Al Nour FM

      French","Koulikoro, Mali",mailto:radio@radio-mali.ml
Malawi,"Radio Maria (Malawi)

      A Christian Voice In Your Home","Mangochi, Malawi",mailto: radiomaria@africa-online.net
Benin,"Radio Immaculée Concepción

      French",,http://tunein.com/Syndication/Edit/?stationId=16108
Angola,"RNA R Uige

      Portuguese","Uige, Angola",http://tunein.com/Syndication/Edit/?stationId=251459
Mauritius,"MBC Taal FM

      The Mauritius Broadcasting...",,mailto:customercare@mbc.intnet.mu
Egypt,"Sound of Sakia Radio

      Sound of Sakia Online...","Cairo, Egypt",http://tunein.com/Syndication/Edit/?stationId=134908
Mali,"SEKO Radio

      French","Kayes, Mali",http://tunein.com/Syndication/Edit/?stationId=189030
Namibia,"Omulunga Radio

      English","Klein Windhoek, Namibia",mailto:omulunga @ omulunga.com.na
Algeria,"Radio Coran

      محطة دينية مخصصة لإذاعة...","Algiers, Algiers, Algeria",mailto:contact@radio-coran.net
Sudan,"Capital Radio

      The Best Radio Station in Sudan and Africa.","Khartoum, Sudan",mailto:info@capitalradiosudan.com
Sudan,"Furgan FM

      Arabic","Khartoum, Sudan",http://tunein.com/Syndication/Edit/?stationId=179582
Zambia,"Radio Dove

      English","Lusaka, Zambia",http://tunein.com/Syndication/Edit/?stationId=110034
Zambia,"ZNBC Radio 2

      Sound Vision For The Future",,mailto:hyde.haguta@znbc.co.zm
Burkina Faso,"Radio Salankoloto

      Radio Salankoloto is a...",,http://tunein.com/Syndication/Edit/?stationId=150117
Gambia,"West Coast Radio 92.1

      West Coast Radio","Serrekunda, Gambia",http://tunein.com/Syndication/Edit/?stationId=186335
Liberia,"UNMIL Radio

      United Nations Mission in Liberia",,http://tunein.com/Syndication/Edit/?stationId=90632
Namibia,"NBC Afrikaans

      Afrikaans",,http://tunein.com/Syndication/Edit/?stationId=119461
Nigeria,"Cool FM 96.9 Lagos

      Your #1 Hit Music Station",,mailto:rcahilig@coollink.us
Nigeria,"Rahma Radio 97.3

      Farin Cikin Al'umma",,mailto:rahmaradio@yahoo.com
Lesotho,"PC FM

      Ha Ntatae!!",,http://tunein.com/Syndication/Edit/?stationId=47696
Namibia,"Live FM

      English",,http://tunein.com/Syndication/Edit/?stationId=119487
Cameroon,"Radio Tiemeni Siantou

      French",,mailto:info@cameroonvoice.com
Togo,"Zéphyr FM

      Enfin La Radio",,http://tunein.com/Syndication/Edit/?stationId=6980
Madagascar,"Radio Des Jeunes FM

      La Radio Des Jeunes",,mailto:contact@rdeejay.net
Sudan,"SRTC General

      Arabic","Omdurman, Sudan",http://tunein.com/Syndication/Edit/?stationId=131749
Gambia,"West Coast Radio

      West Coast Radio","Serrekunda, Gambia",http://tunein.com/Syndication/Edit/?stationId=16134
Sudan,"Radio Megamind

      listen to last news and...","Khartoum, Sudan",mailto:info@fm12.net
Central African Republic,"RFI 1 Afrique

      French","Bangui, Central African Republic",http://tunein.com/Syndication/Edit/?stationId=16088
Zambia,"Power FM

      Urban Youth Radio",,mailto:info@power997.com
Uganda,"Alpha Fm

      Touching Lives",,mailto:damasese@operamail.com
Angola,"RNA R Huambo

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251454
Madagascar,"Radio Voanio

      French","Toamasina, Madagascar",mailto:radio@voanio.com
Mali,"ORTM Chaine 2

      French","Bamako, Mali",mailto:ortm@ortm.ml
Algeria,"Radio Oran

      Pour que vous ne soyez plus seuls",,mailto:info@radio-oran.com
Madagascar,"Radio Vaovao Mahasoa

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=121023
Madagascar,"Radio Antsiva

      French","Antananarivo, Madagascar",http://tunein.com/Syndication/Edit/?stationId=10195
Ethiopia,"Radio Ethiopia - National Service

      Multilingual","Addis Abeba, Ethiopia",http://tunein.com/Syndication/Edit/?stationId=16099
Egypt,"Radio Vision Egypt

      The First Egyptian Live Audio Blog!",,mailto:radiovisioneg@hotmail.com
Morocco,"Casa FM

      French","Casablanca, Morocco",http://tunein.com/Syndication/Edit/?stationId=105721
Mali,"Al Nour FM

      French",,mailto:radio@radio-mali.ml
Liberia,"STAR radio Liberia

      starradio.com is your...","Monrovia, Liberia",http://tunein.com/Syndication/Edit/?stationId=106962
Madagascar,"Radio Madagascar > RNA Antalaha

      Radio Ny Antsika
En...",,mailto:contact@rna-madagascar.com
Kenya,"GHETTO FM

      An Amplified Voice for the Voiceless!",,http://tunein.com/Syndication/Edit/?stationId=174580
Ghana,"GHRadio1

      real music power",,mailto:contact@ghradio1.com
Morocco,"R Casa

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=247890
Algeria,"الإذاعة الجزائرية - القناة الأولى

      الصوت الأقرب إليك",,http://tunein.com/Syndication/Edit/?stationId=16034
Namibia,"NBC Afrikaans

      Afrikaans","Klein Windhoek, Namibia",http://tunein.com/Syndication/Edit/?stationId=119461
Tunisia,"Radio Jawhara

      Radio Jawhara FM, Tunisie...","Sousse, Tunisia",mailto:ridhabnj@gmail.com
Cote D'ivoire,"Radio Cocody FM

      La Radio qui s'impose a abidjan","Abidjan, Côte d'Ivoire",mailto:info@radiococodyfm.com
Namibia,"Kanaal 7

      English","Katima Mulilo, Namibia",mailto:kanaal7@k7.com.na
Mali,"Jekafo Radio

      French","Bamako, Mali",http://tunein.com/Syndication/Edit/?stationId=116715
Uganda,"Bukedde FM 100.5

      Embutikizi",,mailto:tam978@gmail.com
DR Congo,"Top Congo FM

      La Frequence Utile","Kinshasa, DR Congo",mailto:info@topcongo.info
Lesotho,"Radio Lesotho

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=10282
Kenya,"Kameme FM

      Kayu Ka Muingi",,mailto:info@kamemefm.com
Togo,"Radio Lome

      La Station Du Plaisir",,mailto:radiolome@radiolome.tg
Madagascar,"Radio Des Jeunes FM

      La Radio Des Jeunes","Antananarivo, Madagascar",mailto:contact@rdeejay.net
Cote D'ivoire,"Fréquence 2

      French","Abidjan, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=16122
Cote D'ivoire,"Radio Al Bayane

      La voix de l'Islam éternel pour l'éternité","Abidjan, Côte d'Ivoire",mailto:contact@radio-albayane.info
Tanzania,"TBC FM

      Swahili",,http://tunein.com/Syndication/Edit/?stationId=6420
