station,city,email,country
Sun FM,"Colombo, Sri Lanka",md@abcradio.lk,Sri Lanka
DSK FM,"Karawang, Indonesia",wandi_gunawan@yahoo.com,Indonesia
Inner Mongolia Folk Storytelling Radio,"Huhehaote, Inner Mongolia, China",imbs@163.com,China
RJ FM,"Antipolo, Philippines",recortos@yahoo.com,Philippines
RMN Bacolod,"Bacolod, Philippines",mission2010bacolod@gmail.com,Philippines
Nanchang News Radio,"Nanchang, Jiangxi, China",w_yuwen@163.com,China
Radio Dhorbarahi,"Tanahun, Nepal",radiodhorbarahi@gmail.com,Nepal
Radio Max,"Bishkek, GU, Kyrgyzstan",fm.max@mail.ru,Kyrgyzstan
Gyan Vani,"Ahmedabad, GJ , India",imperialravi7@gmail.com,India
hitz fm,"George Town, Malaysia",webmaster@hitz.fm,Malaysia
Total FM,"Payakumbuh,  , Indonesia",radiototalfm50kota@ymail.com,Indonesia
Riphah radio,"Islamabad, Pakistan",azharniaz@gmail.com,Pakistan
Voice of navy 15 Narathiwat,"Narathiwat, Thailand",navyradio.n@hotmail.com,Thailand
Indralaya Radio,"Indralaya, Indonesia",indralayafm@yahoo.co.id,Indonesia
Chofu FM,"Chofu, Japan",mail@chofu-fm.com,Japan
City FM 89,"Lahore, Pakistan",karachi@cityfm89.com,Pakistan
Kol Israel Reshet Gimel,"Jerusalem, Israel",gimmel@iba.org.il,Israel
SAGITA FM,"Trenggalek, Indonesia",sagitafm@yahoo.com,Indonesia
Lak FM,"Colombo, Sri Lanka",info@lakfmradio.com,Sri Lanka
Gugak FM,"Seoul, South Korea",webmaster@gugakfm.co.kr,South Korea
Butwal FM,"Butwal, Nepal",butwalfm94.4@gmail.com,Nepal
中廣新聞網,"T'ao-yuan, Taiwan",customer@ms1.bcc.com.tw,Taiwan
Radio Al-Bilad,"Baghdad, Iraq",albilad@albilad.org,Iraq
Gyan Vani,"Coimbatore, TN, India",imperialravi7@gmail.com,India
Nanchang Joy Music & Stories Radio,"Nanchang, Jiangxi, China",w_yuwen@163.com,China
Capital FM,"Kuala Lumpur, Malaysia",capitalfm88.9malaysia@gmail.com,Malaysia
E FM,"Colombo, Sri Lanka",admin@efm.lk,Sri Lanka
Radio99,"Colombo, Sri Lanka",info@radio99.lk,Sri Lanka
Tianjin Art Radio,"Tianjin, Tianjin, China",radiotj2010@sina.com,China
中廣新聞網,"Kaohsiung City, Taiwan",customer@ms1.bcc.com.tw,Taiwan
All India Radio,"Jodhpur, RJ, India",airlive@air.org.in,India
Voice of Kagi,"Chiayi City, Taiwan",fmradio913@gmail.com,Taiwan
Seila FM,"Batam Centre, Indonesia",seilaradio@yahoo.com,Indonesia
Spin Jordan FM,"Amman, Jordan",spin@spin.jo,Jordan
Star FM Davao,"Davao, Philippines",starfm_davao@bomboradyo.com,Philippines
Modern Radio Loei,"loei, Thailand",FM_Loei@MCOT.NET,Thailand
RTHK Radio 2,"Kowloon, Hong Kong",radio2@rthk.hk,Hong Kong
V FM Radio,"Nugegoda, Sri Lanka",v@vfmradio.info,Sri Lanka
FMS Radio,"Saga, Japan",gats@fmsaga.co.jp,Japan
漢聲廣播電台,"Chang-hua, Taiwan",vohradio@voh.com.tw,Taiwan
SLBC City FM,"Colombo, Sri Lanka",dg@slbc.lk,Sri Lanka
BBC Arabic,"Basra, Iraq",worldservice@bbc.co.uk,Iraq
BFM Belitung,"Pangkalpinang, Indonesia",Radiobfm@live.com,Indonesia
Idola FM Jambi,"Jambi, Indonesia",radioidolafm@gmail.com,Indonesia
Sunrise FM,"Sargodha, Pakistan",info@sunrisepakistan.com,Pakistan
Radio Pakistan - Multan,"Multan, Pakistan",info@radio.gov.pk,Pakistan
Vasantham FM,"Colombo, Sri Lanka",vasanthamfm1024@gmail.com,Sri Lanka
City Radio,"Kuala Lumpur, Malaysia",best1039@radio.fm,Malaysia
Radio Thailand Phayao,"Chiang Mai, Thailand",radiophayao@prd.go.th,Thailand
DXES,"General Santos City, Philippines",bombo_gensan@bomboradyo.infogensan,Philippines
FM TARO,"Ota, Japan",derecfm@fmtaro.co.jp,Japan
Makara Fm Palopo,"Palopo, Indonesia",makarafm@yahoo.com.sg,Indonesia
FM Miki,"Miki, Japan",761@fm-miki.jp,Japan
96.3 WRocK Cebu,"Cebu City, Philippines",wrockcebu@yahoo.com,Philippines
Radio Barahi,"Kaski, Nepal",barahimarketing@gmail.com,Nepal
Gyan Vani,"Lucknow, UP , India",imperialravi7@gmail.com,India
Good News FM Radio,"Taipei, Taiwan",service@goodnews.org.tw,Taiwan
All For Peace Radio,"Ramallah, Palestinian Territory",YONI@ALLFORPEACE.ORG,Palestinian Territory
CBS 표준 FM 98.1,"Chuncheon, South Korea",help@cbs.co.kr,South Korea
Modern Radio Satun,"Satun, Thailand",FM_Satun@MCOT.NET,Thailand
Shantou News Radio,"Shantou, Guangdong, China",strtv@strtv.cn,China
UZR1 Uzbekistan,"Tashkent, Uzbekistan",info@mtrk.uz,Uzbekistan
Radio Morioka,"Morioka, Japan",info@radiomorioka.co.jp,Japan
Sweet FM 88,"Battambang, Cambodia",info@vayofm.com,Cambodia
AIR Radio West Service,"Mumbai, MH, India",airlive@air.org.in,India
RKK Radio,"Kumamoto, Japan",radio@rkk.jp,Japan
Singhalila FM,"Panchthar, Nepal",singhalilafm@gmail.com,Nepal
Fucheng Radio,"T'ai-nan-shih, Taiwan",fucheng911@yahoo.com.tw,Taiwan
Times FM,"Kathmandu, Nepal",info@timesfm906.com,Nepal
Zain FM,"Amman, Jordan",info@esaltel.com,Jordan
U-Radio,"Manila, Philippines",undergroundradiomanila@yahoo.com,Philippines
Qingdao News Radio,"Qingdao, Shandong, China",1377@qingdaomedia.com,China
Energy Radio Thailand,"Khon Kaen, Thailand",manager@energyradiothailand.com,Thailand
DBC 2,"Hong Kong, Hong Kong",info@dbc.hk,Hong Kong
Shreenagar FM,"Tansen, Nepal",shreenagarfm@yahoo.com,Nepal
GREAT 93,"Surin, Thailand",MCOT_COOLISM@hotmail.com,Thailand
iFM 95.1,"Iloilo, Philippines",ifm951@yahoo.com,Philippines
Modern Radio Mahasarakham,"Maha Sarakham, Thailand",FM_Mahasarakham@MCOT.NET,Thailand
RTM Minnal FM,"Taiping, Malaysia",indrasupra@live.com.my,Malaysia
Kanchanjungha FM,"Jhapa, Nepal",kanchanjungha_fm@yahoo.com,Nepal
RTM Sarawak FM,"Kuching, Malaysia",rtmkuc@rtm.gov.my,Malaysia
Happy Radio - Kaohsiung,"Kaohsiung City, Taiwan",service@musicvein.com.tw,Taiwan
H@! FM,"Tome, Japan",tome@hat-fm.net,Japan
Sanganam FM,"Bangko, Indonesia",radio@sanganam.com,Indonesia
Gyan Vani,"Raipur, CG , India",imperialravi7@gmail.com,India
CRI News Radio,"Changsha, Hunan, China",mzgl@cri.com.cn,China
Jam 88.3,"Pasig, Philippines",jam883music@gmail.com,Philippines
"SMEK 95,5 FM","Gorontalo, Indonesia",smekfm.gorontalo@gmail.com,Indonesia
Radio Mirchi,"Bangalore, Karnataka, India",rahul.balyan@timesgroup.com,India
FM Toyama,"Toyama, Japan",soumu@fmtoyama.co.jp,Japan
Al Arabiya,"Dubai, United Arab Emirates",info@arnonline.com,United Arab Emirates
Radio Madhyabindu,"Belani, Nepal",info@madhyabindufm.org.np,Nepal
FM Tanabe,"Tanabe, Japan",info@fm885.jp,Japan
DZAT,"Lucena City, Philippines",info@dzat1512.com,Philippines
FM Toyohashi,"Toyohashi, Japan",f-toyo@843fm.co.jp,Japan
Radio Ganatantra Rapti,"Dang, Nepal",news.hanatantra@gmail.com,Nepal
Kartika 101.7 FM,"Ciamis, Indonesia",kgsradio@yahoo.co.id,Indonesia
Radio Nanami,"Tamamura, Japan",info@fm773.co.jp,Japan
FM Taman,"Itoman, Japan",fm763@fm-taman.com,Japan
Ria FM Female,"Ria, Indonesia",riafmsolo@yahoo.co.id,Indonesia
FM Nanako,"Hagi, Japan",755@haginet.ne.jp,Japan
Nuwakot FM,"Trisuli Bazar, Nepal",nuwakotfm@gmail.com,Nepal
Shenyang News Radio,"Shenyang, Liaoning, China",zhangtao@syradio.cn,China
Radio One,"Beirut, Lebanon",info@radioone.fm,Lebanon
Radio Thaha Sanchar,"Hetauda, Nepal",thahasanchar99.6@gmail.com,Nepal
Hot FM 105 - Jacobabad,"Jacobabad, Pakistan",feedback@hotfm.com.pk,Pakistan
Serambi FM,"Banda Aceh, Indonesia",marketing@serambifm.com,Indonesia
TBC Taichung Radio,"Taichung, Taiwan",3518001@ms37.hinet.net,Taiwan
Hit FM 91.5,"T'ai-chung-shih, Taiwan",service@hitoradio.com,Taiwan
Guangxi Auto Radio,"Nanning, Guangxi, China",sijiache930@163.com,China
Radio Pakistan - Abbottabad,"Abbottabad, Pakistan",info@radio.gov.pk,Pakistan
Radio Madi,"Madi Basantapur, Nepal",madifm@gmail.com,Nepal
VoN FM88,"Pattaya, Thailand",navyradio.n@hotmail.com,Thailand
Radio Pariwartan,"Itahari, Nepal",info@radiopariwartan.org.np,Nepal
Radio Lamjung,"Lamjung, Nepal",radiolamjung@gmail.com,Nepal
CNR Voice Of Minor Ethnic Group Radio,"Beijing, China",0033@cnr.cn,China
Fuyang Traffic Radio,"Fuyang, Anhui, China",fyradio@163.com,China
Shaanxi Music Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
Medias FM,"Tokai, Japan",info@medias.fm,Japan
Sigaw FM,"Lucena City, Philippines",dwlm@sigaw967.com,Philippines
Samosir Green Radio,"Samosir, Indonesia",info@samosirgreen.com,Indonesia
Radio Asia,"Dubai, United Arab Emirates",admin@radioasia.ae,United Arab Emirates
Sawt El Ghad,"Beirut, Lebanon",info@sawtelghad.com,Lebanon
Shandong Economics Radio,"Jinan, Shandong, China",sdgbw@126.com,China
Capital FM,"Kathmandu, Nepal",info@cfmonair.com,Nepal
City FM 98.3,"Miao-li, Taiwan",service@cityfm.tw,Taiwan
Yes 93.3 FM,"Caldecott Hill Estate, SG, Singapore",yes@mediacorpradio.com,Singapore
Rotana Radio Jordan,"Irbid, Jordan",stream@rotanaradio.jo,Jordan
Radio Liberdade Dili,"Dili, Timor-Leste",webmaster@radioliberdadedili.com,Timor-Leste
AFN Eagle 810,"Naha, Japan",afn.publicity@yokota.af.mil,Japan
Melaka FM,"Melaka, Melaka, Malaysia",rmm@mmu.edu.my,Malaysia
Radio Today,"Dhaka, Bangladesh",wm@radiotodaybd.fm,Bangladesh
Radio City Hindi,"Mumbai, India",fun@planetradiocity.com,India
Zhuhai Traffic Radio,"Zhuhai, Guangdong, China",mw1860@zhtv.com,China
Radio 1 UAE,"Abu Dhabi, United Arab Emirates",jhipper@gnbroadcasting.com,United Arab Emirates
Radio City Mumbai,"Mumbai, MH, India",fun@planetradiocity.com,India
Radio Sawa Iraq,"Baghdad, Iraq",comments@radiosawa.com,Iraq
Radio Ramayana,"Palu, Indonesia",ramayanafm@yahoo.co.id,Indonesia
Radio Al-Manshuroh Cilacap,"Cilacap, Indonesia",admin@almanshurohcilacap.com,Indonesia
FM Shimada,"Shimada, Japan",info@g-sky765.jp,Japan
CRI News Radio,"Tianjin, China",mzgl@cri.com.cn,China
漢聲廣播電台,"Keelung, Taiwan",vohradio@voh.com.tw,Taiwan
Gyan Vani,"Allahabad, UP , India",imperialravi7@gmail.com,India
FM Nirai,"Okinawa, Japan",fm792@fm-nirai.jp,Japan
93.8 live,"Caldecott Hill Estate, SG, Singapore",gerrytan@mediacorp.com.sg,Singapore
CBC 91.9 FM,"Taipei, Taiwan",service@cbc919.com.tw,Taiwan
PBC FM 101,"Peshawar, Pakistan",info@radio.gov.pk,Pakistan
Radio Annapurna Nepal,"Kathmandu, Nepal",info@citizenfm.com,Nepal
PBC FM 101,"Quetta, Pakistan",info@radio.gov.pk,Pakistan
Radio Dhurbatara Samudayik,"Dailekh, Nepal",dhurbatarafm09@gmail.com,Nepal
Sunrise FM,"Sahiwal, Pakistan",info@sunrisepakistan.com,Pakistan
RADIO Si FM 101.3,"Tuban, Indonesia",mcmmediagroup@gmail.com,Indonesia
Shanghai ERC Folk Opera Radio,"Shanghai, China",adv@smg.sh.cn,China
Yunnan Ethnics Radio,"Kunming, Yunnan, China",admin@ynradio.net,China
Suryan FM,"Bhopal, India",queries@sunnetwork.in,India
PRO 2 RRI KUPANG,"Kupang, Indonesia",pro2_rrikupang@yahoo.com,Indonesia
B FM,"Biratnagar, Nepal",bfm912.brt@gmail.com,Nepal
105.4 Radio Spice,"Dubai, United Arab Emirates",mail@radiospicefm.com,United Arab Emirates
FM797 Kyoto Sanjyo Radiocafe,"Kyoto, Japan",info@radiocafe.jp,Japan
Radio Mawwal,"Bethlehem, Palestinian Territory",info@mawwal.ps,Palestinian Territory
Ardan FM,"Ponorogo, Indonesia",ardanfm_po@yahoo.co.id,Indonesia
Guransh FM,"Khandbari, Nepal",guranshfm@yahoo.com,Nepal
Image News FM,"Kathmandu, Nepal",info@imagechannels.com,Nepal
AIR Radio South Service,"Thiruvananthapuram, KL, India",airlive@air.org.in,India
Labuan FM,"Labuan, Malaysia",labuanfm@rtm.gov.my,Malaysia
Suryan FM,"Kozhikode, India",queries@sunnetwork.in,India
Shanghai ERC Classic FM,"Shanghai, China",stvweb@stv.sh.cn,China
Radio 2000 - *2610,"Tel Aviv, Israel",info@radio2000.co.il,Israel
Zhengzhou Music Radio,"Zhengzhou, Henan, China",yichengnian@163.com,China
Yulin Radio - Traffic & Music,"Yulin, Guangxi, China",fm.992@163.com,China
TBC Dasi Radio 2,"Dasi, Taiwan",3518001@ms37.hinet.net,Taiwan
Merge 104.8,"Muscat, Oman",studio@radiomerge.fm,Oman
Risala Radio,"Beirut, Lebanon",webmaster@risalaradio.com,Lebanon
FM Koza,"Okinawa, Japan",761@fmkoza.jp,Japan
PBC FM 101,"Sialkot, Pakistan",info@radio.gov.pk,Pakistan
City FM 89,"Islamabad, Pakistan",karachi@cityfm89.com,Pakistan
Jiangxi News Radio,"Nanchang, Jiangxi , China",jxgbdt@mail.jxgdw.com,China
Friends FM,"Kagoshima, Japan",099-214-3777,Japan
Radio Karos Sapporo,"Sapporo, Japan",request@radiokaros.com,Japan
89.7 Hot FM,"Cauayan, Philippines",hotfmcauayan@gmail.com,Philippines
Philharmonic Radio Taipei,"Taipei, Taiwan",prtweb@e-classical.com.tw,Taiwan
DWIZ,"Manila, Philippines",postmaster.aliwbroadcasting@gmail.com,Philippines
Lips 106 FM,"Batangas, Philippines",lips106mla_ampbni@yahoo.com,Philippines
Power 98 FM,"Bukit Merah Estate, Singapore",vincent@safraradio.com.sg,Singapore
Radio Pakistan - Quetta I,"Quetta, Pakistan",webdesk@radio.gov.pk,Pakistan
Radio MOMO,"Okayama, Japan",momo@fm790.co.jp,Japan
AIR FM Gold,"Madras, TN, India",airlive@air.org.in,India
FM Jungle,"Toyooka, Japan",jg@764.fm,Japan
Joska FM,"Paser, Indonesia",joskafm_paser@yahoo.com,Indonesia
Modern Radio Trang,"Trang, Thailand",FM_Trang@MCOT.NET,Thailand
Pitch FM,"Kariya, Japan",pitch@838.fm,Japan
FM Haro!,"Hamamatsu, Japan",info@fmharo.co.jp,Japan
Radio Dhamaal,"Hisar, HR, India",info@fmradiodhamaal.com,India
Dil FM Sahiwal,"Sahiwal, Pakistan",info@fmdil.com,Pakistan
Radio Caritas Mariae,"Naga City, Philippines",rcm983fm@gmail.com,Philippines
Rainbowtown FM,"Koto, Japan",info@792fm.com,Japan
Radio Jaljala,"Rolpa, Nepal",jaljalaradio@gmail.com,Nepal
Radio Rumoh PMI,"Banda Aceh, Indonesia",radiorpmi@yahoo.com,Indonesia
All India Radio,"New Delhi, India",airlive@air.org.in,India
Radio Pakistan - Peshawar,"Peshawar, Pakistan",info@radio.gov.pk,Pakistan
Star FM,"Dubai, United Arab Emirates",sabaho@starfm.ae,United Arab Emirates
中廣新聞網,"Nan-t'ou, Taiwan",customer@ms1.bcc.com.tw,Taiwan
Rangiri Sri Lanka Radio,"Colombo, Sri Lanka",dg@rangiri.com,Sri Lanka
Joy of Voice Broadcasting,"Hangzhou, Zhejiang, China",webmaster@fm95.net,China
Laos National Radio,"Vientiane, Lao",laonradio@lnr.org.la,Lao
RTB Nur Islam,"Kampong Subok, Brunei Darussalam",nurislam933fm@rtb.gov.bn,Brunei Darussalam
PBC Planet 94,"Murree, Pakistan",webdesk@radio.gov.pk,Pakistan
MBC Radio 95.9,"Seoul, South Korea",faceit@mbc.co.kr,South Korea
Headlines & Music FM,"Lalitpur, Nepal",info@radiomithila.org,Nepal
Radio 88 FM,"Zefat, Israel",il88fm@gmail.com,Israel
Krakatau Radio,"Pandeglang, Indonesia",krakatauradio@yahoo.com,Indonesia
City FM,"Toyama, Japan",info@city-fm.co.jp,Japan
Mix FM,"Riyadh, Saudi Arabia",mix@mixfm-sa.com,Saudi Arabia
FM Iwanuma,"Iwanuma, Japan",iwanuma@fm779.com,Japan
All India Radio,"Jalandhar, PB, India",airlive@air.org.in,India
B-ONE FM,"Bengkulu, Indonesia",bengkulu.onefm@gmail.com,Indonesia
RMN Manila DZXL 558kHz,"Manila, Philippines",rmnvideos@gmail.com,Philippines
Hits FM,"Kathmandu, Nepal",info@hitsfm.com.np,Nepal
Shandong Traffic & Music Radio,"Jinan, Shandong, China",sdgbw@126.com,China
Mast FM Lahore,"Lahore, Pakistan",info@mastfm103.com,Pakistan
Smart FM Balikpapan,"Balikpapan, Indonesia",balikpapan@radiosmartfm.com,Indonesia
Voice of Strait News Radio,"Fuzhou, Fujian, China",vos@vos.com.cn,China
Cilegon PASS FM,"Cilegon, Indonesia",marketing@cilegonpassfm.co.id,Indonesia
Radio Chitwan,"Tandi, Nepal",info@radiochitwan.com.np,Nepal
Chaozhou Radio - News,"Chaozhou, Guangdong, China",gdczbtv@sina.com,China
Jiangmen Tourism & Music Radio,"Jiangmen, Guangdong, China",jmradio@jmcatv.com.cn,China
Alif Alif FM,"Riyadh, Saudi Arabia",info@alifalif.net,Saudi Arabia
FM Uji,"Kyoto, Japan",office@fmuji.com,Japan
Shaanxi Traffic Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
Maitri FM,"Kathmandu, Nepal",info@radiomaitri.com.np,Nepal
Beijing Traffic Radio,"Beijing, Beijing, China",ciscobj@126.com,China
FM Sagami,"Sagamihara, Japan",mail@fmsagami.co.jp,Japan
漢聲廣播電台,"T'ai-chung-shih, Taiwan",vohradio@voh.com.tw,Taiwan
Hot FM 105 - Nawabshah,"Nawabshah, Pakistan",feedback@hotfm.com.pk,Pakistan
FM المدينة,"Khirbat Hazzur, Syrian Arab Republic",info@almadinafm.com,Syrian Arab Republic
DBC 4 Digital Wave,"Hong Kong, Hong Kong",info@dbc.hk,Hong Kong
漢聲廣播電台,"P'ing-tung, Taiwan",vohradio@voh.com.tw,Taiwan
JN CBS,"Suncheon, South Korea",jncbs@cbs.co.kr,South Korea
Music Highway FM,"Khairpur, Pakistan","hello@musichighway,fm",Pakistan
FM Fukuoka,"Fukuoka, Japan",webmas@fmfukuoka.jp,Japan
Fajar FM,"Banyuwangi, Indonesia",infofajarfm@yahoo.co.id,Indonesia
WOW-FM,"Manila, Philippines",info@1035max.fm,Philippines
Radio Magic,"Dubai, United Arab Emirates",tunein@radiomagic.fm,United Arab Emirates
Hot FM 105 - Sanghar,"Sanghar, Pakistan",feedback@hotfm.com.pk,Pakistan
Radio City,"Tokyo, Japan",voice@fm840.jp,Japan
RGSFM,"Sumenep, Indonesia",info@rgsfm.com,Indonesia
Modern Radio Rayong,"Rayong, Thailand",FM_Rayong@MCOT.NET,Thailand
Radio Planet 89.1 Mhz,"Chautara, Nepal",radioplanet891@gmail.com,Nepal
BBC World Service Mongolia,"Ulan Bator, Mongolia",worldservice@bbc.co.uk,Mongolia
CRI News Radio,"Macau, Macau",mzgl@cri.com.cn,Macau
Bao'an Vivid Radio,"Shenzhen, Guangdong, China",805299824@qq.com,China
973FM,"Singapore, Singapore",blaststhatlast@hotmail.com,Singapore
Radio 102,"Temirtau, Kazakhstan",info@102.kz,Kazakhstan
Radio Paschim Today,"Kailali, Nepal",info@paschimtoday.com,Nepal
Anaway Kolaka,"Kolaka, Indonesia",hasantaruna@yahoo.com,Indonesia
Radio Janakpur,"Janakpur, Nepal",info@radiojanakpur.org.np,Nepal
The Beats Radio Plus,"Kerobokan, Bali, Indonesia",editor@beatmag.com,Indonesia
One FM,"Petaling Jaya, Malaysia",onefmyatchaiz@gmail.com,Malaysia
Pervoye Radio,"Rishon le Zion, Israel",vladzer@891fm.co.il,Israel
Love FM 98.9,"Lopez, Philippines",cool_joven@yahoo.ca,Philippines
Radio 4 FM,"Ajman, United Arab Emirates",info@radio4fm.com,United Arab Emirates
Happy FM,"Itami, Japan",happy@itami.fm,Japan
Oman R General,"Muscat, Oman",omanet@omantel.net.om,Oman
Saugaat FM,"Baitadi, Nepal",saugaatfm@gmail.com,Nepal
MOR 94.3,"Tacloban City, Philippines",mor_943tac@yahoo.com.ph,Philippines
Tangshan Music Radio,"Tangshan, Hebei, China",radiots@163.com,China
FM Kahoku,"Ishikawa, Japan",fm@kahoku.net,Japan
Aswaja FM,"Ponorogo, Indonesia",aswajafm@gmail.com,Indonesia
FM Oze,"Numata, Japan",765@fm-oze.co.jp,Japan
Lite FM,"Kuala Lumpur, Malaysia",webmaster@litefm.com.my,Malaysia
Radio Killer Bee,"Bacolod, Philippines",kb923cebu@yahoo.com,Philippines
Radio Thailand Chiangmai,"Chiang Mai, Thailand",chiangmai@prdnorth.in.th,Thailand
Radio Jeevay,"Bahawalpur, Pakistan",info@radiojp.com.pk,Pakistan
SKFM Bukittinggi,"Bukittinggi, Indonesia",radio.skfm@yahoo.co.id,Indonesia
Radio Dhading,"Dhading, Nepal",radiodhading@gmail.com,Nepal
Adya FM,"Sukabumi, Indonesia",balad_adya@adyafm.com,Indonesia
SAJADDAH FM,"GORONTALO, Indonesia",932@sajaddah.com,Indonesia
Shaanxi Auto Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
中廣新聞網,"Chiayi, Taiwan",customer@ms1.bcc.com.tw,Taiwan
MGLRADIO FM102.1,"Ulaanbaatar, Mongolia",info@mglradio.com,Mongolia
Radio Buraq Mardan,"Mardan, Pakistan",comments@buraq.fm,Pakistan
漳州综合广播,"Zhangzhou, Fujian, China",fjzzfm@163.com,China
AIR Radio West Service,"Bhopal, MP, India",airlive@air.org.in,India
Radio Alau,"Kostanay, Kazakhstan",konkurs@alau.kz,Kazakhstan
Radio Foorti Chittagong,"Chittagong, Bangladesh",feedback@radiofoorti.fm,Bangladesh
FM Shu-nan,"Yamaguchi, Japan",info@fms784.co.jp,Japan
Radio Pakistan - Sibbi,"Sibi, Pakistan",info@radio.gov.pk,Pakistan
Dhukdhuki FM,"Janakpur, Nepal",dhukdhukifm@gmail.com,Nepal
Radio Foorti Dhaka,"Dhaka, Bangladesh",feedback@radiofoorti.fm,Bangladesh
Kaiping Radio Flying Channel,"Kaiping, Guangdong, China",kprd@tom.com,China
Radio Boracay,"Mal-ay, Philippines",radioboracay@gmail.com,Philippines
BBC World Service Phnom Penh,"Phnom Penh, Phnom Penh, Cambodia",worldservice@bbc.co.uk,Cambodia
Radio Karnali,"Jumla, Nepal",rkfm@kirdarc.org,Nepal
Start FM Panyabungan,"Panyabungan, Indonesia",aes_578@yahoo.com,Indonesia
Beijing Classical Music Radio,"Beijing, China",kefu@rbc.cn,China
Artha Radio Bengkulu,"Manna, Indonesia",heri@artharadio.com,Indonesia
BRY Radio,"Buriram, Thailand",bry_media@brycomplex.com,Thailand
FM Hi-Ho,"Nara, Japan",post@fm814.co.jp , info@fm814.co.jp,"Nara, Japan
Shenyang Traffic Radio,"Shenyang, Liaoning, China",zhangtao@syradio.cn,China
Radio GFM,"Seoul, South Korea",radiogfm@radiogfm.net,South Korea
Radio Rudraksha,"Jaleshwar, Nepal",info@radiorudraksha.com,Nepal
Manas FM,"Bishkek, KG, Kyrgyzstan",radiotvmanas@gmail.com,Kyrgyzstan
Blue Greece,"Tel Aviv, Israel",info@leylotyavan.co.il,Israel
Zhengzhou Economics Radio,"Zhengzhou, Henan, China",suqing711@126.com,China
Radio NS,"Almaty, Kazakhstan",info@ns.kz,Kazakhstan
Cats FM,"Kuching, Sarawak, Malaysia",info@catsfm.my,Malaysia
HOT FM Multan,"Multan, Pakistan",info@soloradiofm.com,Pakistan
104.4 Virgin Radio Dubai,"Dubai, United Arab Emirates",virgin@virginradiodubai.com,United Arab Emirates
Rainbow FM,"Isahaya, Japan",niji@771fm.co.jp,Japan
DBC 6 Digital Melody,"Hong Kong, Hong Kong",info@dbc.hk,Hong Kong
Yunnan  News Radio,"Kunming, Yunnan, China",admin@ynradio.net,China
Hot FM,"Dipolog, Philippines",info@dmc.edu.ph,Philippines
Radio Mirchi,"Vadodara, Gujarat, India",neeraj.saraswat@timesgroup.com,India
WBS Original sound broadcasting,"Busan, South Korea",webmaster@wbsfm.com,South Korea
Kothmale FM,"Gampola, Sri Lanka",info@kothmale.org,Sri Lanka
Rhythm FM,"Colombo, Sri Lanka",imran@tnlradio.com,Sri Lanka
Sam FM 99.1,"San'a, Yemen",info@samyemen.fm,Yemen
Jinan Literature & Art Radio,"Jinan, Shandong, China",webmaster@jnnc.com,China
Radio Record,"Bishkek, Kyrgyzstan",support@radiorecord.ru,Kyrgyzstan
Fever 104 FM,"Bangalore, India",fever104@fever.fm,India
PBC FM 101,"Hyderabad, Pakistan",info@radio.gov.pk,Pakistan
DontreeSeason EasyFM,"Chiang Mai, Thailand",dseason.channel@gmail.com,Thailand
Chennai Live - 104.8 FM,"Chennai, TN, India",info@chennailive.fm,India
Radio 1 UAE,"Dubai, United Arab Emirates",jhipper@gnbroadcasting.com,United Arab Emirates
FM105.7 U Radio,"Shenzhen, Guangdong, China",pub@uradio.cc,China
Gyan Vani,"Jaipur, RJ , India",imperialravi7@gmail.com,India
Kyungki FM 99.9,"Gyeonggi-do, South Korea",webmaster@kfm.co.kr,South Korea
CNR 3-Music,"Shanghai, Shanghai, China",cn@cnradio.com,China
Bombo Radyo Iloilo,"Iloilo City, Philippines",bombo_iloilo@bomboradyo.comiloilo,Philippines
Sooriyan FM,"Colombo, Sri Lanka",sooriyanfm@abcradio.lk,Sri Lanka
Al Rabia FM,"Ajman, United Arab Emirates",info@1078fm.com,United Arab Emirates
Z Music Station,"Chiang Mai, Thailand",zmusicstation@hotmail.com,Thailand
Radio 97.5 FM,"Phnom Penh, Cambodia",lovefmradio@gmail.com,Cambodia
Ran FM,"Colombo, Sri Lanka",admin@ranfm.lk,Sri Lanka
Star Radio,"Kuei-jen, Taiwan",gwai@mail.cjcu.edu.tw,Taiwan
FM Kurashiki,"Kurashiki, Japan",828@fmkurashiki.com,Japan
AIR Radio South Service,"Warangal, AP, India",airlive@air.org.in,India
Delta FM,"Manado, Indonesia",deltafm@deltafm.net,Indonesia
Krishnasar FM,"Nepalgunj, Nepal",info@krishnasarfm.com,Nepal
Happy Radio Hualien,"Hualien, Taiwan",service@musicvein.com.tw,Taiwan
Babylon FM,"Erbil, Iraq",info@babylonfm.net,Iraq
Ningxia City Radio,"Yinchuan, Ningxia, China",dssh1037@yahoo.com.cn,China
Suryan FM,"Kanpur, India",queries@sunnetwork.in,India
Kappa FM,"Yatsushiro, Japan",765@kappafm.com,Japan
Star FM Manila,"Pasay, Philippines",starfm_manila@bomboradyo.com,Philippines
BBC Arabic,"Salah ad Din, Iraq",worldservice@bbc.co.uk,Iraq
Vo Strait Entertainment,"Fuzhou, Fujian, China",vos@vos.com.cn,China
FM Otaru,"Otaru, Japan",763@fmotaru.co.jp,Japan
Rima Njeim Radio,"Beirut, Lebanon",info@rimanjeimnetwork.com,Lebanon
